ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle             228:             669 evals,             142 toggles,            5621 zeroes,             373 ones
Profile Cycle             229:             666 evals,             197 toggles,            5662 zeroes,             564 ones
Profile Cycle             230:             681 evals,             186 toggles,            5784 zeroes,             551 ones
Profile Cycle             231:             613 evals,             246 toggles,            5564 zeroes,             727 ones
Profile Cycle             232:             647 evals,             427 toggles,            5874 zeroes,             508 ones
[232] 9 1
Profile Cycle             233:             607 evals,             189 toggles,            5757 zeroes,             393 ones
Profile Cycle             234:             621 evals,             144 toggles,            5744 zeroes,             423 ones
Profile Cycle             235:             629 evals,             148 toggles,            5704 zeroes,             358 ones
Profile Cycle             236:             669 evals,              97 toggles,            5637 zeroes,             357 ones
Profile Cycle             237:             602 evals,             153 toggles,            5509 zeroes,             477 ones
Profile Cycle             238:             658 evals,             123 toggles,            5439 zeroes,             524 ones
Profile Cycle             239:             658 evals,              55 toggles,            5490 zeroes,             563 ones
Profile Cycle             240:             644 evals,              80 toggles,            5414 zeroes,             501 ones
Profile Cycle             241:             614 evals,              34 toggles,            5306 zeroes,             493 ones
Profile Cycle             242:             636 evals,              29 toggles,            5329 zeroes,             488 ones
Profile Cycle             243:             637 evals,              11 toggles,            5326 zeroes,             493 ones
Profile Cycle             244:             653 evals,              47 toggles,            5433 zeroes,             524 ones
Profile Cycle             245:             670 evals,             156 toggles,            5475 zeroes,             551 ones
Profile Cycle             246:             621 evals,             160 toggles,            5741 zeroes,             429 ones
Profile Cycle             247:             648 evals,             102 toggles,            5911 zeroes,             344 ones
Profile Cycle             248:             669 evals,              65 toggles,            5635 zeroes,             359 ones
Profile Cycle             249:             608 evals,              91 toggles,            5642 zeroes,             370 ones
Profile Cycle             250:             629 evals,             107 toggles,            5662 zeroes,             400 ones
Profile Cycle             251:             648 evals,             154 toggles,            5581 zeroes,             396 ones
Profile Cycle             252:             666 evals,             326 toggles,            5811 zeroes,             415 ones
Profile Cycle             253:             681 evals,             210 toggles,            5942 zeroes,             393 ones
Profile Cycle             254:             634 evals,             201 toggles,            5813 zeroes,             495 ones
Profile Cycle             255:             647 evals,             292 toggles,            6059 zeroes,             323 ones
[255] 10 3
Profile Cycle             256:             607 evals,             142 toggles,            5900 zeroes,             250 ones
Profile Cycle             257:             621 evals,             125 toggles,            5893 zeroes,             274 ones
Profile Cycle             258:             629 evals,             155 toggles,            5861 zeroes,             201 ones
Profile Cycle             259:             669 evals,             107 toggles,            5803 zeroes,             191 ones
Profile Cycle             260:             602 evals,             170 toggles,            5643 zeroes,             343 ones
Profile Cycle             261:             637 evals,             151 toggles,            5557 zeroes,             389 ones
Profile Cycle             262:             658 evals,              77 toggles,            5621 zeroes,             432 ones
Profile Cycle             263:             644 evals,              95 toggles,            5557 zeroes,             358 ones
Profile Cycle             264:             635 evals,              28 toggles,            5463 zeroes,             353 ones
Profile Cycle             265:             636 evals,              14 toggles,            5473 zeroes,             344 ones
Profile Cycle             266:             637 evals,               8 toggles,            5467 zeroes,             352 ones
Profile Cycle             267:             653 evals,              55 toggles,            5570 zeroes,             387 ones
Profile Cycle             268:             670 evals,             169 toggles,            5612 zeroes,             414 ones
Profile Cycle             269:             621 evals,             178 toggles,            5902 zeroes,             268 ones
Profile Cycle             270:             648 evals,             102 toggles,            6077 zeroes,             178 ones
Profile Cycle             271:             648 evals,              80 toggles,            5783 zeroes,             194 ones
Profile Cycle             272:             608 evals,             107 toggles,            5792 zeroes,             220 ones
Profile Cycle             273:             629 evals,             110 toggles,            5815 zeroes,             247 ones
Profile Cycle             274:             669 evals,             142 toggles,            5752 zeroes,             242 ones
Profile Cycle             275:             666 evals,             193 toggles,            5816 zeroes,             410 ones
Profile Cycle             276:             681 evals,             202 toggles,            5965 zeroes,             370 ones
Profile Cycle             277:             634 evals,             230 toggles,            5771 zeroes,             537 ones
